item,truth
0,0
1,4
2,1
3,2
4,7
5,9
6,7
7,1
8,1
9,7
10,1
11,3
12,4
13,2
14,6
15,4
16,6
17,7
18,3
19,3
20,7
21,0
22,5
23,7
24,6
25,5
26,6
27,4
28,7
29,4
30,3
31,5
32,0
33,1
34,4
35,6
36,3
37,9
38,4
39,5
40,8
41,0
42,9
43,6
44,0
45,9
46,7
47,5
48,7
49,1
50,0
51,1
52,3
53,5
54,5
55,0
56,5
57,0
58,0
59,3
60,7
61,5
62,1
63,8
64,4
65,5
66,2
67,8
68,2
69,4
70,4
71,4
72,3
73,4
74,3
75,4
76,5
77,0
78,8
79,4
80,0
81,5
82,2
83,0
84,4
85,9
86,7
87,2
88,1
89,5
90,1
91,0
92,7
93,5
94,4
95,0
96,4
97,4
98,7
99,8
100,7
101,1
102,3
103,7
104,0
105,8
106,0
107,8
108,2
109,9
110,1
111,9
112,3
113,6
114,6
115,6
116,4
117,2
118,4
119,1
120,8
121,0
122,2
123,1
124,1
125,1
126,6
127,4
128,9
129,3
130,3
131,2
132,3
133,8
134,9
135,6
136,7
137,0
138,8
139,3
140,1
141,8
142,3
143,7
144,0
145,5
146,9
147,1
148,2
149,3
150,4
151,5
152,7
153,0
154,3
155,0
156,7
157,1
158,9
159,2
160,7
161,3
162,2
163,5
164,5
165,5
166,6
167,1
168,8
169,8
170,1
171,3
172,1
173,9
174,2
175,6
176,5
177,7
178,5
179,3
180,4
181,7
182,9
183,1
184,8
185,3
186,1
187,7
188,0
189,8
190,8
191,2
192,5
193,4
194,4
195,5
196,6
197,8
198,1
199,6
200,1
201,6
202,1
203,4
204,8
205,8
206,7
207,0
208,7
209,3
210,6
211,4
212,0
213,3
214,1
215,4
216,6
217,4
218,7
219,5
220,0
221,1
222,7
223,9
224,9
225,9
226,9
227,8
228,8
229,7
230,6
231,3
232,9
233,2
234,6
235,3
236,7
237,8
238,4
239,7
240,2
241,8
242,3
243,8
244,3
245,2
246,4
247,0
248,6
249,0
250,8
251,9
252,7
253,7
254,8
255,0
256,3
257,3
258,4
259,8
260,4
261,7
262,4
263,4
264,3
265,4
266,3
267,6
268,8
269,4
270,8
271,4
272,7
273,9
274,0
275,2
276,8
277,0
278,2
279,2
280,6
281,4
282,2
283,8
284,3
285,6
286,5
287,9
288,7
289,3
290,0
291,4
292,3
293,0
294,9
295,2
296,0
297,2
298,5
299,3
300,1
301,3
302,1
303,9
304,6
305,4
306,1
307,8
308,2
309,2
310,7
311,5
312,7
313,6
314,8
315,6
316,8
317,3
318,2
319,2
320,2
321,8
322,8
323,0
324,7
325,7
326,9
327,8
328,8
329,4
330,3
331,9
332,3
333,3
334,8
335,8
336,7
337,3
338,6
339,6
340,9
341,1
342,8
343,7
344,2
345,4
346,7
347,9
348,5
349,8
350,3
351,4
352,2
353,7
354,3
355,1
356,7
357,2
358,3
359,9
360,0
361,7
362,5
363,9
364,3
365,0
366,8
367,0
368,2
369,3
370,7
371,6
372,4
373,7
374,8
375,4
376,4
377,7
378,4
379,5
380,3
381,9
382,2
383,5
384,9
385,8
386,7
387,6
388,4
389,1
390,1
391,6
392,5
393,6
394,8
395,1
396,3
397,7
398,1
399,1
400,1
401,5
402,8
403,9
404,5
405,6
406,0
407,8
408,4
409,6
410,7
411,2
412,9
413,7
414,8
415,5
416,2
417,7
418,0
419,3
420,7
421,6
422,3
423,5
424,6
425,5
426,5
427,8
428,2
429,9
430,0
431,2
432,4
433,3
434,1
435,2
436,8
437,8
438,0
439,2
440,9
441,5
442,5
443,8
444,8
445,0
446,8
447,1
448,8
449,7
450,3
451,5
452,9
453,7
454,0
455,7
456,1
457,4
458,0
459,2
460,9
461,9
462,2
463,8
464,3
465,6
466,6
467,8
468,6
469,8
470,5
471,2
472,1
473,1
474,7
475,1
476,3
477,2
478,2
479,5
480,8
481,9
482,0
483,9
484,4
485,4
486,2
487,2
488,8
489,7
490,4
491,0
492,0
493,4
494,5
495,0
496,0
497,0
498,9
499,5
500,1
501,8
502,7
503,9
504,3
505,4
506,4
507,4
508,7
509,7
510,1
511,9
512,6
513,1
514,9
515,6
516,3
517,2
518,1
519,5
520,0
521,2
522,4
523,9
524,3
525,4
526,1
527,7
528,3
529,2
530,6
531,6
532,7
533,2
534,7
535,3
536,1
537,4
538,7
539,8
540,2
541,6
542,3
543,5
544,9
545,6
546,7
547,9
548,2
549,6
550,0
551,6
552,3
553,3
554,6
555,7
556,1
557,8
558,2
559,3
560,1
561,1
562,3
563,6
564,1
565,9
566,9
567,9
568,3
569,1
570,6
571,8
572,3
573,2
574,0
575,7
576,8
577,5
578,1
579,9
580,1
581,8
582,1
583,5
584,8
585,1
586,2
587,6
588,8
589,0
590,6
591,9
592,7
593,0
594,5
595,2
596,6
597,5
598,7
599,7
600,3
601,4
602,2
603,7
604,9
605,5
606,6
