item,truth
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,5
331,5
332,5
333,5
334,5
335,5
336,5
337,5
338,5
339,5
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,3
361,3
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,4
371,4
372,4
373,4
374,4
375,4
376,4
377,4
378,4
379,4
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,5
391,5
392,5
393,5
394,5
395,5
396,5
397,5
398,5
399,5
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,4
431,4
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,5
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,3
481,3
482,3
483,3
484,3
485,3
