item,truth
0,4
1,1
2,3
3,3
4,4
5,1
6,0
7,1
8,2
9,2
10,0
11,4
12,0
13,4
14,0
15,3
16,2
17,3
18,4
19,4
20,0
21,0
22,0
23,3
24,0
25,2
26,0
27,1
28,4
29,1
30,3
31,3
32,0
33,3
34,0
35,1
36,0
37,0
38,4
39,4
40,4
41,2
42,1
43,3
44,0
45,4
46,0
47,4
48,3
49,1
50,3
51,3
52,3
53,1
54,3
55,3
56,4
57,3
58,1
59,3
60,1
61,1
62,1
63,2
64,3
65,2
66,2
67,3
68,3
69,2
70,0
71,4
72,3
73,1
74,1
75,4
76,3
77,4
78,4
79,4
80,3
81,3
82,0
83,4
84,3
85,0
86,2
87,2
88,3
89,2
90,3
91,4
92,4
93,0
94,4
95,3
96,1
97,2
98,4
99,4
100,1
101,1
102,2
103,0
104,4
105,2
106,4
107,0
108,2
109,3
110,2
111,4
112,1
113,2
114,1
115,1
116,4
117,1
118,0
119,4
120,1
121,4
122,3
123,4
124,1
125,3
126,0
127,1
128,3
129,4
130,0
131,3
132,1
133,4
134,4
135,4
136,2
137,1
138,3
139,3
140,2
141,4
142,0
143,3
144,0
145,1
146,0
147,4
148,3
149,1
150,2
151,0
152,2
153,0
154,2
155,1
156,1
157,3
158,1
159,0
160,0
161,1
162,1
163,1
164,3
165,2
166,0
167,2
168,2
169,4
170,2
171,3
172,4
173,0
174,1
175,4
176,1
177,4
178,3
179,2
180,4
181,1
182,0
183,2
184,4
185,0
186,0
187,4
188,1
189,0
190,2
191,0
192,3
193,0
194,1
195,3
196,2
197,0
198,0
199,4
200,4
201,3
202,1
203,2
204,4
205,0
206,4
207,2
208,2
209,0
210,3
211,1
212,0
213,3
214,1
215,2
216,0
217,1
218,3
219,3
220,4
221,3
222,1
223,4
224,3
225,4
226,0
227,1
228,2
229,2
230,0
231,4
232,3
233,1
234,0
235,4
236,1
237,0
238,2
239,4
240,4
241,4
242,4
243,3
244,1
245,2
246,0
247,2
248,1
249,2
250,0
251,2
252,4
253,2
254,4
255,0
256,3
257,3
258,0
259,4
260,0
261,1
262,4
263,2
264,1
265,1
266,3
267,4
268,0
269,3
270,4
271,0
272,4
273,1
274,2
275,3
276,3
277,4
278,0
279,3
280,3
281,2
282,3
283,1
284,1
285,0
286,4
287,2
288,2
289,3
290,3
291,1
292,2
293,0
294,0
295,0
296,4
297,1
298,2
299,3
300,4
301,0
302,2
303,1
304,3
305,1
306,0
307,1
308,3
309,3
310,3
311,2
312,4
313,2
314,0
315,2
316,4
317,1
318,0
319,2
320,0
321,2
322,2
323,4
324,3
325,1
326,4
327,4
328,1
329,1
330,1
331,4
332,0
333,4
334,2
335,4
336,3
337,3
338,2
339,4
340,3
341,2
342,4
343,1
344,0
345,3
346,2
347,2
348,0
349,1
350,3
351,2
352,2
353,2
354,4
355,3
356,4
357,0
358,2
359,2
360,0
361,2
362,0
363,2
364,0
365,4
366,0
367,4
368,1
369,4
370,4
371,1
372,0
373,1
374,0
375,2
376,2
377,0
378,2
379,4
380,4
381,1
382,2
383,0
384,0
385,2
386,3
387,4
388,1
389,3
390,0
391,4
392,4
393,3
394,3
395,0
396,3
397,4
398,4
399,2
400,1
401,2
402,2
403,0
404,2
405,1
406,0
407,0
408,4
409,3
410,0
411,4
412,4
413,4
414,0
415,0
416,2
417,3
418,0
419,4
420,3
421,2
422,4
423,1
424,1
425,4
426,1
427,1
428,2
429,3
430,0
431,1
432,4
433,0
434,2
435,2
436,3
437,1
438,0
439,0
440,4
441,0
442,2
443,1
444,1
445,2
446,2
447,0
448,4
449,1
450,2
451,2
452,4
453,4
454,4
455,3
456,1
457,1
458,0
459,1
460,0
461,2
462,4
463,2
464,3
465,1
466,4
467,0
468,3
469,3
470,3
471,4
472,1
473,1
474,2
475,4
476,1
477,1
478,0
479,3
480,0
481,3
482,2
483,2
484,2
485,3
486,1
487,4
488,1
489,4
490,1
491,3
492,2
493,3
494,0
495,0
496,2
497,4
498,0
499,4
500,4
501,4
502,0
503,4
504,2
505,0
506,3
507,3
508,1
509,0
510,0
511,3
512,4
513,3
514,0
515,2
516,1
517,3
518,2
519,3
520,1
521,2
522,4
523,4
524,2
525,1
526,1
527,4
528,1
529,2
530,1
531,1
532,2
533,0
