item,truth
0,13
1,13
2,13
3,23
4,23
5,23
6,23
7,23
8,23
9,23
10,23
11,19
12,19
13,19
14,19
15,4
16,4
17,4
18,10
19,10
20,10
21,2
22,2
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,21
31,14
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,0
48,0
49,0
50,0
51,9
52,9
53,9
54,22
55,22
56,22
57,7
58,7
59,7
60,20
61,20
62,20
63,20
64,20
65,11
66,12
67,12
68,12
69,3
70,17
71,17
72,1
73,1
74,1
75,25
76,25
77,5
78,5
79,5
80,5
81,5
82,15
83,15
84,15
85,15
86,16
87,16
88,16
89,28
90,28
91,28
92,27
93,27
94,27
95,29
96,24
97,24
98,24
99,18
100,13
101,13
102,13
103,23
104,23
105,23
106,23
107,23
108,23
109,23
110,23
111,19
112,19
113,19
114,19
115,4
116,4
117,4
118,10
119,10
120,10
121,2
122,2
123,21
124,21
125,21
126,21
127,21
128,21
129,21
130,21
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,8
140,8
141,8
142,8
143,8
144,8
145,8
146,8
147,0
148,0
149,0
150,0
151,9
152,9
153,9
154,22
155,22
156,22
157,7
158,7
159,7
160,20
161,20
162,20
163,20
164,20
165,11
166,12
167,12
168,12
169,3
170,17
171,17
172,1
173,1
174,1
175,25
176,25
177,5
178,5
179,5
180,5
181,5
182,15
183,15
184,15
185,15
186,16
187,16
188,16
189,28
190,28
191,28
192,27
193,27
194,27
195,29
196,24
197,24
198,24
199,18
200,13
201,13
202,13
203,23
204,23
205,23
206,23
207,23
208,23
209,23
210,23
211,19
212,19
213,19
214,19
215,4
216,4
217,4
218,10
219,10
220,10
221,2
222,2
223,21
224,21
225,21
226,21
227,21
228,21
229,21
230,14
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,8
240,8
241,8
242,8
243,8
244,8
245,8
246,8
247,0
248,0
249,0
250,0
251,9
252,9
253,9
254,22
255,22
256,22
257,7
258,7
259,7
260,20
261,20
262,20
263,20
264,20
265,11
266,12
267,12
268,3
269,3
270,17
271,17
272,1
273,1
274,1
275,25
276,25
277,5
278,5
279,5
280,5
281,5
282,15
283,15
284,15
285,15
286,16
287,16
288,16
289,28
290,28
291,28
292,27
293,27
294,27
295,29
296,24
297,24
298,18
299,18
300,13
301,13
302,13
303,23
304,23
305,23
306,23
307,23
308,23
309,23
310,23
311,19
312,19
313,19
314,19
315,4
316,4
317,4
318,10
319,10
320,10
321,2
322,2
323,21
324,21
325,21
326,21
327,21
328,21
329,21
330,14
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,6
339,8
340,8
341,8
342,8
343,8
344,8
345,8
346,8
347,0
348,0
349,0
350,0
351,9
352,9
353,9
354,22
355,22
356,22
357,7
358,7
359,7
360,20
361,20
362,20
363,20
364,20
365,12
366,12
367,12
368,3
369,3
370,17
371,17
372,1
373,1
374,25
375,25
376,25
377,5
378,5
379,5
380,5
381,5
382,15
383,15
384,15
385,15
386,16
387,16
388,16
389,28
390,28
391,28
392,27
393,27
394,27
395,24
396,24
397,24
398,18
399,18
400,13
401,13
402,13
403,23
404,23
405,23
406,23
407,23
408,23
409,23
410,23
411,19
412,19
413,19
414,4
415,4
416,4
417,4
418,10
419,10
420,26
421,2
422,2
423,21
424,21
