item,truth
0,1
1,0
2,2
3,2
4,1
5,1
6,1
7,2
8,1
9,0
10,2
11,1
12,0
13,1
14,0
15,0
16,2
17,2
18,1
19,0
20,0
21,1
22,2
23,0
24,0
25,0
26,1
27,2
28,1
29,1
30,1
31,0
32,2
33,0
34,2
35,0
36,1
37,1
38,2
39,0
40,2
41,2
42,1
43,1
44,1
45,0
46,1
47,1
48,2
49,2
50,1
51,1
52,2
53,1
54,1
55,2
56,2
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,2
65,0
66,0
67,0
68,0
69,1
70,0
71,2
72,1
73,0
74,2
75,2
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,2
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,0
92,2
93,0
94,2
95,2
96,1
97,1
98,0
99,1
100,2
101,1
102,1
103,0
104,1
105,1
106,2
107,1
108,1
109,2
110,0
111,2
112,2
113,2
114,0
115,0
116,1
117,2
118,0
119,2
120,0
121,1
122,1
123,2
124,2
125,2
126,2
127,1
128,2
129,0
130,0
131,2
132,1
133,1
134,2
135,1
136,1
137,2
138,2
139,1
140,0
141,0
142,2
143,0
144,1
145,0
146,2
147,2
148,1
149,1
150,0
151,2
152,0
153,0
154,1
155,0
156,2
157,2
158,2
159,0
160,1
161,1
162,2
163,1
164,2
165,1
166,1
167,2
168,0
169,0
170,0
171,1
172,2
173,2
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,2
184,0
185,0
186,1
187,0
188,1
189,1
190,2
191,2
192,0
193,2
194,0
195,1
196,1
197,2
198,1
199,2
200,0
201,2
202,1
203,1
204,2
205,1
206,0
207,0
208,2
209,0
210,0
211,1
212,2
213,2
214,0
215,1
216,1
217,2
218,0
219,2
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,0
231,0
232,1
233,0
234,2
235,2
236,2
237,1
238,1
239,0
240,2
241,2
242,2
243,0
244,1
245,0
246,1
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,2
255,2
256,1
257,0
258,0
259,0
260,1
261,1
262,1
263,2
264,2
265,2
266,1
267,0
268,0
269,1
270,2
271,1
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,2
280,1
281,2
282,1
283,2
284,0
285,2
286,0
287,2
288,2
289,0
290,0
291,0
292,2
293,2
294,1
295,2
296,2
297,0
298,1
299,1
300,2
301,0
302,1
303,1
304,1
305,2
306,0
307,2
308,1
309,0
310,0
311,2
312,1
313,0
314,1
315,1
316,0
317,2
318,0
319,2
320,0
321,2
322,0
323,0
324,0
325,1
326,2
327,1
328,1
329,1
330,1
331,2
332,1
333,2
334,0
335,2
336,0
337,0
338,1
339,1
340,1
341,1
342,2
343,1
344,1
345,1
346,2
347,2
348,0
349,1
350,1
351,1
352,2
353,0
354,0
355,0
356,2
357,1
358,1
359,1
360,1
361,1
362,1
363,2
364,1
365,2
366,0
367,0
368,0
369,0
370,1
371,1
372,1
373,2
374,1
375,2
376,2
377,2
378,0
379,0
380,2
381,0
382,1
383,1
384,2
385,1
386,1
387,2
388,2
389,1
390,1
391,0
392,1
393,0
394,0
395,2
396,0
397,1
398,2
399,1
400,2
401,1
402,2
403,2
404,1
405,0
406,0
407,1
408,0
409,0
410,2
411,1
412,2
413,1
414,2
415,1
416,2
417,2
418,1
419,0
420,2
421,2
422,0
423,2
424,1
425,2
426,2
427,0
428,2
429,2
430,1
431,2
432,1
433,0
434,0
435,1
436,2
437,2
438,2
439,0
440,1
441,0
442,0
443,0
444,2
445,1
446,0
447,1
448,0
449,0
450,2
451,1
452,2
453,2
454,1
455,2
456,2
457,2
458,0
459,2
460,1
461,2
462,1
463,1
464,2
465,0
466,1
467,2
468,1
469,2
470,2
471,1
472,0
473,1
474,0
475,1
476,1
477,2
478,2
479,2
480,2
481,1
482,2
483,1
484,0
485,0
486,2
487,1
488,2
489,0
490,1
491,1
492,0
493,1
494,1
495,0
496,1
497,0
498,0
499,0
500,0
501,0
502,0
503,1
504,0
505,1
506,2
507,1
508,1
509,1
510,0
511,1
512,2
513,2
514,0
515,0
516,1
517,1
518,1
519,0
520,2
521,0
522,0
523,0
524,0
525,1
526,1
527,0
528,2
529,2
530,2
531,0
532,2
533,2
534,2
535,2
536,2
537,1
538,0
539,1
540,0
541,0
542,2
543,0
544,0
545,0
546,1
547,1
548,0
549,2
550,1
551,2
552,1
553,1
554,0
555,0
556,1
557,0
558,2
559,0
560,2
561,1
562,2
563,2
564,0
565,1
566,1
567,2
568,2
569,0
570,0
571,1
572,0
573,1
574,1
575,0
576,0
577,2
578,2
579,1
580,2
581,0
582,2
583,2
584,1
585,0
586,1
587,0
588,0
589,0
590,2
591,0
592,0
593,0
594,1
595,0
596,2
597,0
598,0
599,0
600,1
601,0
602,2
603,0
604,0
605,0
606,0
607,0
608,1
609,2
610,1
611,0
612,0
613,2
614,2
615,1
616,0
617,2
618,1
619,0
620,2
621,0
622,0
623,2
624,1
625,1
626,2
627,2
628,2
629,0
630,2
631,1
632,1
633,0
634,2
635,1
636,1
637,2
638,0
639,0
640,1
641,1
642,2
643,2
644,2
645,0
646,0
647,0
648,2
649,2
650,2
651,0
652,2
653,0
654,0
655,1
656,0
657,1
658,2
659,1
660,2
661,0
662,2
663,2
664,2
665,0
666,1
667,1
668,2
669,1
670,2
671,1
672,0
673,0
674,2
675,0
676,1
677,1
678,0
679,1
680,1
681,0
682,2
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,0
691,2
692,0
693,1
694,2
695,1
696,2
697,2
698,1
699,1
700,0
701,2
702,0
703,0
704,2
705,1
706,2
707,1
708,0
709,0
710,2
711,1
712,1
713,1
714,0
715,0
716,2
717,2
718,0
719,0
720,0
721,0
722,1
723,1
724,2
725,1
726,0
727,1
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,2
739,2
740,1
741,0
742,0
743,0
744,2
745,2
746,1
747,0
748,0
749,1
750,2
751,0
752,0
753,1
754,0
755,2
756,1
757,2
758,1
759,1
760,0
761,1
762,0
763,2
764,2
765,1
766,2
767,0
768,1
769,2
770,1
771,1
772,0
773,1
774,1
775,1
776,1
777,2
778,1
779,1
780,0
781,0
782,0
783,0
784,1
785,2
786,2
787,1
788,0
789,2
790,2
791,2
792,2
793,0
794,2
795,1
796,0
797,0
798,2
799,0
800,0
801,1
802,2
803,1
804,2
805,0
806,2
807,1
808,2
809,0
810,2
811,2
812,0
813,1
814,0
815,1
816,1
817,1
818,0
819,0
820,0
821,2
822,1
823,2
824,0
825,2
826,2
827,1
828,1
829,0
830,2
831,0
832,0
833,2
834,2
835,2
836,1
837,1
838,1
839,2
840,0
841,2
842,2
843,2
844,1
845,1
846,2
847,1
848,0
849,2
850,1
851,1
852,2
853,0
854,1
855,1
856,1
857,0
858,0
859,1
860,0
861,2
862,1
863,2
864,2
865,1
866,0
867,2
868,0
869,2
870,0
871,1
872,0
873,1
874,0
875,0
876,2
877,1
878,1
879,1
880,1
881,0
882,2
883,2
884,2
885,2
886,1
887,1
888,1
889,1
890,0
891,0
892,1
893,0
894,2
895,2
896,0
897,1
898,0
899,2
900,2
901,0
902,2
903,0
904,2
905,2
906,1
907,2
908,2
909,1
910,0
911,0
912,0
913,0
914,0
915,1
916,2
917,1
918,1
919,2
920,2
921,2
922,2
923,2
924,1
925,1
926,0
927,0
928,2
929,1
930,1
931,1
932,2
933,1
934,1
935,1
936,1
937,0
938,2
939,2
940,1
941,2
942,1
943,2
944,1
945,1
946,0
947,0
948,0
949,2
950,2
951,2
952,0
953,2
954,2
955,2
956,0
957,1
958,2
959,2
960,0
961,0
962,2
963,1
964,1
965,0
966,0
967,2
968,2
969,2
970,0
971,0
972,0
973,1
974,0
975,2
976,0
977,0
978,1
979,2
980,0
981,0
982,1
983,0
984,1
985,2
986,1
987,0
988,1
989,0
990,1
991,1
992,2
993,2
994,1
995,2
996,0
997,1
998,2
999,2
1000,2
1001,1
1002,1
1003,2
1004,0
1005,2
1006,1
1007,2
1008,1
1009,2
1010,2
1011,0
1012,1
1013,2
1014,1
1015,0
1016,1
1017,1
1018,2
1019,1
1020,1
1021,2
1022,2
1023,0
1024,2
1025,2
1026,2
1027,0
1028,1
1029,1
1030,0
1031,0
1032,2
1033,1
1034,1
1035,1
1036,0
1037,1
1038,1
1039,0
1040,2
1041,2
1042,0
1043,2
1044,0
1045,2
1046,0
1047,1
1048,1
1049,2
1050,1
1051,1
1052,2
1053,1
1054,1
1055,2
1056,0
1057,2
1058,0
1059,2
1060,1
1061,2
1062,1
1063,1
1064,2
1065,0
1066,0
1067,2
1068,1
1069,0
1070,1
1071,0
1072,0
1073,0
1074,0
1075,0
1076,1
1077,0
1078,2
1079,0
1080,2
1081,1
1082,0
1083,1
1084,2
1085,2
1086,1
1087,2
1088,2
1089,0
1090,0
1091,0
1092,0
1093,2
1094,2
1095,2
1096,1
1097,0
1098,2
1099,2
1100,0
1101,1
1102,2
1103,2
1104,2
1105,1
1106,1
1107,1
1108,0
1109,2
1110,1
1111,1
1112,0
1113,0
1114,1
1115,1
1116,2
1117,2
1118,2
1119,0
1120,0
1121,1
1122,0
1123,2
1124,2
1125,0
1126,2
1127,2
1128,1
1129,2
1130,2
1131,1
1132,2
1133,1
1134,0
1135,1
1136,1
1137,1
1138,1
1139,2
1140,2
1141,2
1142,1
1143,1
1144,2
1145,2
1146,2
1147,0
1148,1
1149,0
1150,1
1151,2
1152,2
1153,2
1154,1
1155,2
1156,1
1157,2
1158,2
1159,2
1160,1
1161,1
1162,0
1163,2
1164,2
1165,2
1166,1
1167,1
1168,0
1169,2
1170,1
1171,0
1172,2
1173,2
1174,2
1175,0
1176,2
1177,1
1178,0
1179,1
1180,0
1181,2
1182,0
1183,2
1184,2
1185,1
1186,1
1187,2
1188,2
1189,1
1190,1
1191,0
1192,1
1193,2
1194,2
1195,2
1196,0
1197,2
1198,1
1199,1
1200,0
1201,2
1202,0
1203,0
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,2
1213,2
1214,1
1215,2
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,1
1224,0
1225,0
1226,1
1227,2
1228,2
1229,1
1230,2
