item,truth
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,17
20,17
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,15
31,15
32,15
33,15
34,15
35,15
36,15
37,15
38,15
39,2
40,2
41,2
42,2
43,6
44,6
45,6
46,6
47,7
48,7
49,4
50,4
51,11
52,11
53,3
54,3
55,13
56,14
57,14
58,10
59,10
60,8
61,8
62,9
63,18
64,18
65,16
66,16
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,17
89,17
90,12
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,15
100,15
101,15
102,15
103,15
104,15
105,15
106,15
107,2
108,2
109,2
110,2
111,2
112,6
113,6
114,6
115,6
116,7
117,7
118,4
119,4
120,11
121,11
122,3
123,3
124,13
125,14
126,14
127,10
128,10
129,8
130,9
131,9
132,18
133,18
134,16
135,16
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,17
157,17
158,12
159,12
160,12
161,12
162,12
163,12
164,12
165,12
166,12
167,12
168,15
169,15
170,15
171,15
172,15
173,15
174,15
175,15
176,2
177,2
178,2
179,2
180,2
181,6
182,6
183,6
184,6
185,7
186,7
187,4
188,4
189,11
190,11
191,3
192,3
193,13
194,14
195,14
196,10
197,10
198,8
199,9
200,9
201,18
202,18
203,16
204,16
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,17
225,17
226,12
227,12
228,12
229,12
230,12
231,12
232,12
233,12
234,12
235,15
236,15
237,15
238,15
239,15
240,15
241,15
242,15
243,15
244,2
245,2
246,2
247,2
248,2
249,6
250,6
251,6
252,6
253,7
254,7
255,4
256,4
257,11
258,11
259,3
260,3
261,13
262,14
263,14
264,10
265,10
266,8
267,9
268,9
269,18
270,18
271,16
272,16
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,17
293,17
294,12
295,12
296,12
297,12
298,12
299,12
300,12
301,12
302,12
303,15
304,15
305,15
306,15
307,15
308,15
309,15
310,15
311,15
312,2
313,2
314,2
315,2
316,2
317,6
318,6
319,6
320,6
321,7
322,7
323,4
324,4
325,11
326,11
327,3
328,3
329,13
330,14
331,14
332,10
333,10
334,8
335,9
336,9
337,18
338,18
339,16
340,16
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,5
352,5
353,5
354,5
355,5
356,5
357,5
358,5
359,5
360,17
361,17
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,15
372,15
373,15
374,15
375,15
376,15
377,15
378,15
379,15
380,2
381,2
382,2
383,2
384,6
385,6
386,6
387,6
388,6
389,7
390,7
391,4
392,4
393,11
394,11
395,3
396,3
397,13
398,14
399,14
400,10
401,10
402,8
403,9
404,9
405,18
406,18
407,16
408,16
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,5
420,5
421,5
422,5
423,5
424,5
425,5
426,5
427,5
428,17
429,17
430,12
431,12
432,12
433,12
434,12
435,12
436,12
437,12
438,12
439,15
440,15
441,15
442,15
443,15
444,15
445,15
446,15
447,15
448,2
449,2
450,2
451,2
452,6
453,6
454,6
455,6
456,6
457,7
458,7
459,4
460,4
461,11
462,11
463,3
464,3
465,13
466,14
467,14
468,10
469,10
470,8
471,9
472,18
473,18
474,16
475,16
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,5
488,5
489,5
490,5
491,5
492,5
493,5
494,5
495,5
496,17
497,17
498,12
499,12
500,12
501,12
502,12
503,12
504,12
505,12
506,12
507,15
508,15
509,15
510,15
511,15
512,15
513,15
514,15
515,15
516,2
517,2
518,2
519,2
520,6
521,6
522,6
523,6
524,6
525,7
526,7
527,4
528,4
529,11
530,11
531,3
532,3
533,14
534,14
535,10
536,10
537,8
538,8
539,9
540,18
541,18
542,16
543,16
544,0
545,0
546,1
547,1
548,1
549,1
550,1
551,1
