item,truth
0,9
1,9
2,9
3,9
4,5
5,5
6,5
7,12
8,12
9,19
10,19
11,19
12,10
13,10
14,10
15,10
16,10
17,7
18,7
19,7
20,15
21,15
22,0
23,0
24,0
25,0
26,11
27,11
28,11
29,16
30,16
31,1
32,1
33,1
34,1
35,17
36,17
37,2
38,2
39,2
40,6
41,6
42,13
43,13
44,13
45,14
46,14
47,4
48,4
49,4
50,8
51,8
52,3
53,3
54,3
55,3
56,18
57,18
58,9
59,9
60,9
61,9
62,5
63,5
64,5
65,12
66,12
67,19
68,19
69,19
70,10
71,10
72,10
73,10
74,10
75,7
76,7
77,7
78,15
79,15
80,0
81,0
82,0
83,0
84,11
85,11
86,11
87,16
88,16
89,1
90,1
91,1
92,1
93,17
94,17
95,2
96,2
97,2
98,6
99,6
100,13
101,13
102,13
103,14
104,14
105,4
106,4
107,4
108,8
109,8
110,3
111,3
112,3
113,3
114,18
115,18
116,9
117,9
118,9
119,5
120,5
121,5
122,12
123,12
124,12
125,19
126,19
127,19
128,10
129,10
130,10
131,10
132,10
133,7
134,7
135,7
136,15
137,15
138,0
139,0
140,0
141,0
142,11
143,11
144,11
145,16
146,16
147,1
148,1
149,1
150,1
151,17
152,17
153,2
154,2
155,2
156,6
157,6
158,13
159,13
160,14
161,14
162,14
163,4
164,4
165,4
166,8
167,8
168,3
169,3
170,3
171,3
172,18
173,18
174,9
175,9
176,9
177,5
178,5
179,5
180,12
181,12
182,12
183,19
184,19
185,19
186,10
187,10
188,10
189,10
190,10
191,7
192,7
193,7
194,15
195,15
196,0
197,0
198,0
199,0
200,11
201,11
202,11
203,16
204,16
205,1
206,1
207,1
208,17
209,17
210,17
211,2
212,2
213,2
214,6
215,6
216,13
217,13
218,14
219,14
220,14
221,4
222,4
223,4
224,8
225,8
226,3
227,3
228,3
229,3
230,18
231,18
232,9
233,9
234,9
235,5
236,5
237,5
238,12
239,12
240,12
241,19
242,19
243,19
244,10
245,10
246,10
247,10
248,10
249,7
250,7
251,15
252,15
253,15
254,0
255,0
256,0
257,0
258,11
259,11
260,11
261,16
262,16
263,1
264,1
265,1
266,17
267,17
268,17
269,2
270,2
271,2
272,6
273,6
274,13
275,13
276,14
277,14
278,14
279,4
280,4
281,8
282,8
283,8
284,3
285,3
286,3
287,18
288,18
289,9
290,9
291,9
292,5
293,5
294,5
295,12
296,12
297,12
298,19
299,19
300,19
301,10
302,10
303,10
304,10
305,10
306,7
307,7
308,15
309,15
310,15
311,0
312,0
313,0
314,11
315,11
316,11
317,11
318,16
319,16
320,1
321,1
322,1
323,17
324,17
325,2
326,2
327,2
328,2
329,6
330,6
331,13
332,13
333,14
334,14
335,14
336,4
337,4
338,8
339,8
340,8
341,3
342,3
343,3
344,18
345,18
346,9
347,9
348,9
349,5
350,5
351,5
352,12
353,12
354,12
355,19
356,19
357,19
358,10
359,10
360,10
361,10
362,10
363,7
364,7
365,15
366,15
367,15
368,0
369,0
370,0
371,11
372,11
373,11
374,11
375,16
376,16
377,1
378,1
379,1
380,17
381,17
382,2
383,2
384,2
385,2
386,6
387,6
388,13
389,13
390,14
391,14
392,14
393,4
394,4
395,8
396,8
397,8
398,3
399,3
400,3
401,18
402,18
403,9
404,9
405,9
406,5
407,5
408,5
409,12
410,12
411,12
412,19
413,19
414,19
415,10
416,10
417,10
418,10
419,10
420,7
421,7
422,15
423,15
424,0
425,0
426,0
427,0
428,11
429,11
430,11
431,11
432,16
433,16
434,1
435,1
436,1
437,17
438,17
439,2
440,2
441,2
442,2
443,6
444,6
445,13
446,13
447,14
448,14
449,14
450,4
451,4
452,8
453,8
454,8
455,3
456,3
457,3
458,18
459,18
460,9
461,9
462,9
463,5
464,5
